index,ranking
0,"maats,single_agent,zero_shot"
1,"zero_shot,single_agent,maats"
2,"maats,single_agent,zero_shot"
3,"zero_shot,single_agent,maats"
4,"maats,zero_shot,single_agent"
5,"single_agent,zero_shot,maats"
6,"maats,single_agent,zero_shot"
7,"zero_shot,maats,single_agent"
8,"maats,single_agent,zero_shot"
9,"maats,single_agent,zero_shot"
10,"single_agent,zero_shot,maats"
11,"maats,zero_shot,single_agent"
12,"maats,single_agent,zero_shot"
13,"maats,single_agent,zero_shot"
14,"maats,single_agent,zero_shot"
15,"single_agent,zero_shot,maats"
16,"zero_shot,maats,single_agent"
17,"maats,zero_shot,single_agent"
18,"single_agent,zero_shot,maats"
19,"maats,zero_shot,single_agent"
20,"maats,single_agent,zero_shot"
21,"maats,zero_shot,single_agent"
22,"maats,single_agent,zero_shot"
23,"maats,zero_shot,single_agent"
24,"zero_shot,single_agent,maats"
25,"maats,single_agent,zero_shot"
26,"single_agent,zero_shot,maats"
27,"zero_shot,maats,single_agent"
28,"maats,single_agent,zero_shot"
29,"maats,zero_shot,single_agent"
30,"single_agent,zero_shot,maats"
31,"zero_shot,maats,single_agent"
32,"maats,single_agent,zero_shot"
33,"single_agent,zero_shot,maats"
34,"maats,single_agent,zero_shot"
