Index,source,zero_shot,maats,single_agent,reference
0,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是使用 Direct3D3 对象。,对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
1,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验只有在资本主义制度下才可能实现，因为它们需要大量的资源、组织和强制手段，否则无法实现。,一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则难以实现。,一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
2,Picking this up this weekend.,这个周末去拿。,这个周末去拿这个。,这个周末就去拿这个。,我这个周末来取它。
3,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,我在寻找一辆适合车迷的新手车，而且我真的很喜欢80年代风格。,我在寻找一辆适合车迷的第一辆车；而且我真的很喜欢80年代的美学。,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
4,I know they're not fast compared,我知道它们相比之下不快。,我知道他们与其他相比速度不快，,我知道它们不快。,我知道相比之下它们的速度并不是很快
5,#Venting into the Fediverse time.,#在联邦宇宙中发泄时间。,#在Fediverse上发泄一下,#在联邦宇宙中倾诉。,#在 Fediverse 中发泄。
6,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,我和对象今晚去酒铺买啤酒和一瓶起泡酒。,我和伴侣今晚去酒铺买了一些啤酒和一瓶bub。,我和我的同居伙伴今晚去酒类专卖店买了些啤酒和一瓶起泡酒。
7,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员显然是一位跨性别女性。,当我们去结账时，收银员看起来是一位相当明显的跨性别女性。,当我们去结账时，收银员显然是一位跨性别女性。,我们去结账的时候，发现收银员明显是一位#跨性别女性。
8,And then we just... paid for our stuff.,然后我们就……付了钱。,然后我们就……付了我们东西的钱。,然后我们就……付了钱。,然后我们就...为我们买的商品结了账。
9,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,她脸上如释重负的微笑让人感觉很棒，但她一开始感到害怕真是糟透了，我非常讨厌这种感觉。,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是他妈的糟糕，我讨厌这样。,她脸上出现了如释重负的笑容，感觉很好，但她第一次遇到的恐惧真他妈的糟糕，我再也不想遇到那样的事。
10,This is the stupidest timeline and I hate it dot com.,这是最愚蠢的时间线，我讨厌它.com。,这是最愚蠢的时间轴，我讨厌它 dot com。,这是最愚蠢的时代，我讨厌它.com。,这次经历真蠢，我再也不想遇到它。
11,But he can't pardon himself out of state prison.,但他无法通过赦免自己逃脱州监狱。,但他无法通过赦免来逃避州监狱的刑罚。,但他无法通过赦免自己免于州立监狱的刑罚。,而他无法大赦自己离开州立监狱。
12,It takes the state's governor.,这需要州长。,这需要州长的参与。,这需要州长的参与。,因为这一点需要州长同意。
13,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们建议，情境依赖的交流是一种多层次的现象，受到环境特性（如情境分布）的重要影响。,我们认为，情境依赖的交流是一种具有多层次特征的现象，受到环境特性（如情境分布）的重要影响。,我们建议，情境依赖的交流是一种多层次的现象，受到环境特性（如情境的分布方式）的重要影响。,我们认为，依赖语境的通信是一种情景化的多层次现象，受到环境属性如语境分布的重要影响。
14,Communities gain the knowledge to embed and support their own development.,社区获得了嵌入和支持自身发展的知识。,社区获得了将发展嵌入并支持自身发展的知识。,社区获得了嵌入和支持自身发展的知识。,社区人员学习了知识，并将这些知识用于支持自身的发展。
